Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Has_Cabin,Title,FamilySize,IsAlone,AgeBin,FareBin,Survived
3,1,-0.5384615384615384,1,0,-0.3081457021626061,2,0,2,1.0,0,2,0,0
1,0,0.6923076923076923,1,0,2.4307546879277306,0,1,3,1.0,0,3,3,1
3,0,-0.23076923076923078,0,0,-0.27927388447851087,2,0,1,0.0,1,2,1,1
1,0,0.46153846153846156,1,0,1.6529992471940873,2,1,3,1.0,0,2,3,1
3,1,0.46153846153846156,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,1,0.0,0,0,-0.2564630098549138,1,0,2,0.0,1,2,1,0
1,1,1.9230769230769231,0,0,1.6000675814399123,2,1,2,0.0,1,3,3,0
3,1,-2.076923076923077,3,1,0.28319189707090064,2,0,0,4.0,0,0,2,0
3,0,-0.15384615384615385,0,2,-0.14204506569942515,2,0,3,2.0,0,2,1,1
2,0,-1.1538461538461537,1,0,0.667969819326581,0,0,3,1.0,0,1,2,1
3,0,-1.9230769230769231,1,1,0.0960597454147276,2,1,1,2.0,0,0,2,1
1,0,2.230769230769231,0,0,0.5173744182863401,2,1,1,0.0,1,3,2,1
3,1,-0.6923076923076923,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,1,0.7692307692307693,1,5,0.7194771420750069,2,0,2,6.0,0,3,2,0
3,0,-1.1538461538461537,0,0,-0.2823022173555982,2,0,1,0.0,1,1,0,0
2,0,2.0,0,0,0.06611860114973994,2,0,3,0.0,1,3,2,1
3,1,-2.076923076923077,4,1,0.6275150561182591,1,0,0,5.0,0,0,2,0
2,1,0.0,0,0,-0.06220058855735014,2,0,2,0.0,1,2,1,1
3,0,0.15384615384615385,1,0,0.15166472762113334,2,0,3,1.0,0,2,2,0
3,0,0.46153846153846156,0,0,-0.30921502874349854,0,0,3,0.0,1,2,0,1
2,1,0.46153846153846156,0,0,0.49384923350670684,2,0,2,0.0,1,2,2,0
2,1,0.38461538461538464,0,0,-0.06220058855735014,2,1,2,0.0,1,2,1,1
3,0,-1.0769230769230769,0,0,-0.2748169312893513,1,0,1,0.0,1,1,1,1
1,1,-0.07692307692307693,0,0,0.9001933342458255,2,1,2,0.0,1,2,3,1
3,0,-1.6153846153846154,3,1,0.28319189707090064,2,0,1,4.0,0,0,2,0
3,0,0.6923076923076923,1,5,0.7242891116890228,2,0,3,6.0,0,3,3,1
3,1,0.0,0,0,-0.30921502874349854,0,0,2,0.0,1,2,0,0
1,1,-0.7692307692307693,3,2,10.631065220366823,2,1,2,5.0,0,2,3,0
3,0,-0.5384615384615384,0,0,-0.28123289077470576,1,0,1,0.0,1,2,0,1
3,1,0.0,0,0,-0.28052285792499315,2,0,2,0.0,1,2,0,0
1,1,0.8461538461538461,0,0,0.5674531207226937,0,0,4,0.0,1,3,2,0
1,0,0.46153846153846156,1,0,5.648893033123461,0,1,3,1.0,0,2,3,1
3,0,-0.5384615384615384,0,0,-0.28675917054475775,1,0,1,0.0,1,2,0,1
2,1,2.8461538461538463,0,0,-0.16913324664659188,2,0,2,0.0,1,4,1,0
1,1,-0.07692307692307693,1,0,2.8964464139063786,0,0,2,1.0,0,2,3,0
1,1,1.0,1,0,1.605948877634821,2,0,2,1.0,0,3,3,0
3,1,0.0,0,0,-0.30903538187790863,0,0,2,0.0,1,2,0,1
3,1,-0.6153846153846154,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,0,-0.8461538461538461,2,0,0.15166472762113334,2,0,1,2.0,0,1,2,0
3,0,-1.1538461538461537,1,0,-0.13740846564467565,0,0,1,1.0,0,1,1,1
3,0,0.8461538461538461,1,0,-0.212975636463181,2,0,3,1.0,0,3,1,0
2,0,-0.15384615384615385,1,0,0.2799839173282234,2,0,3,1.0,0,2,2,0
3,1,0.0,0,0,-0.28052285792499315,0,0,2,0.0,1,2,0,0
2,0,-2.0,1,2,1.1602193402682728,0,0,1,3.0,0,0,3,1
3,0,-0.7692307692307693,0,0,-0.28123289077470576,1,0,1,0.0,1,2,0,1
3,1,0.0,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,1,0.0,1,0,0.04473206953189159,1,0,2,1.0,0,2,2,0
3,0,-0.5384615384615384,0,0,-0.28675917054475775,1,0,1,0.0,1,2,0,1
3,1,0.0,2,0,0.3090353818779087,0,0,2,2.0,0,2,2,0
3,0,-0.8461538461538461,1,0,0.143110114973994,2,0,3,1.0,0,1,2,0
3,1,-1.6923076923076923,4,1,1.0793055365453053,2,0,0,5.0,0,0,3,0
3,1,-0.6153846153846154,0,0,-0.28462051738297295,2,0,2,0.0,1,2,0,0
1,0,1.5384615384615385,1,0,2.663692513003012,0,1,3,1.0,0,3,3,1
2,0,0.0,1,0,0.49384923350670684,2,0,3,1.0,0,2,2,1
1,1,2.769230769230769,0,1,2.032789830276485,0,1,2,1.0,0,4,3,0
1,1,0.0,0,0,0.9001933342458255,2,1,2,0.0,1,2,3,1
2,0,-0.6153846153846154,0,0,-0.16913324664659188,2,0,1,0.0,1,2,1,1
3,1,-0.038461538461538464,0,0,-0.30903538187790863,0,0,2,0.0,1,2,0,0
2,0,-1.8461538461538463,1,2,0.568702094169176,2,0,1,3.0,0,0,2,1
3,1,-1.3846153846153846,5,2,1.3878062551327677,2,0,0,7.0,0,0,3,0
3,1,-0.5384615384615384,0,0,-0.30903538187790863,0,0,2,0.0,1,2,0,0
1,0,0.6923076923076923,0,0,2.8035946482343284,2,1,1,0.0,1,3,3,1
1,1,1.2307692307692308,1,0,2.952231042978374,2,1,2,1.0,0,3,3,0
3,1,-1.9230769230769231,3,2,0.5751180536545305,2,0,0,5.0,0,0,2,0
1,1,0.0,0,0,0.5674531207226937,0,0,2,0.0,1,2,2,0
3,1,-1.9230769230769231,1,1,0.033859156857377455,0,0,0,2.0,0,0,2,1
2,0,0.0,0,0,-0.16913324664659188,2,1,3,0.0,1,2,1,1
3,1,-0.7692307692307693,0,0,-0.2692949288256228,2,0,2,0.0,1,2,1,0
3,0,-0.9230769230769231,4,2,-0.27927388447851087,2,0,1,6.0,0,1,1,1
3,1,-0.23076923076923078,2,0,-0.24772875034218456,2,0,2,2.0,0,2,1,0
2,1,0.23076923076923078,0,0,-0.16913324664659188,2,0,2,0.0,1,2,1,0
3,0,-1.0,5,2,1.3878062551327677,2,0,1,7.0,0,1,3,0
2,1,-0.6153846153846154,0,0,2.5255697372022996,2,0,2,0.0,1,2,3,0
3,1,-0.23076923076923078,1,0,0.0,0,0,2,1.0,0,2,1,0
3,1,0.23076923076923078,0,0,1.7982480153298661,2,0,2,0.0,1,2,3,1
3,1,-0.3076923076923077,0,0,-0.29103647686832745,2,1,2,0.0,1,2,0,0
3,1,0.0,0,0,-0.28052285792499315,2,0,2,0.0,1,2,0,0
3,1,0.0,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
2,1,-2.166923076923077,0,2,0.622168423213797,2,0,0,2.0,0,0,2,1
3,0,0.07692307692307693,0,0,-0.08465644675609092,2,0,1,0.0,1,2,1,1
3,1,-0.5384615384615384,0,0,-0.2332928415001369,2,0,2,0.0,1,2,1,0
3,1,0.0,0,0,-0.21190630988228856,2,0,2,0.0,1,2,1,1
3,0,-0.5384615384615384,0,0,-0.28515518067341916,1,0,1,0.0,1,2,0,1
1,1,-0.07692307692307693,0,0,1.396360867779907,2,0,2,0.0,1,2,3,0
2,0,-0.9230769230769231,0,0,-0.16913324664659188,2,0,1,0.0,1,1,1,1
3,0,0.3076923076923077,3,0,0.05970264166438542,2,0,3,3.0,0,2,2,1
3,1,-1.0,1,3,0.8520736381056667,2,0,2,4.0,0,1,3,0
3,1,0.0,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
1,0,-0.46153846153846156,3,2,10.631065220366823,2,1,1,5.0,0,2,3,1
3,1,-0.38461538461538464,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,1,0.0,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
3,1,-0.6923076923076923,0,0,-0.2823022173555982,2,0,2,0.0,1,2,0,0
1,1,1.3076923076923077,1,0,1.998391732822338,2,1,2,1.0,0,3,3,0
3,1,-0.23076923076923078,1,2,0.2618053654530523,2,0,2,3.0,0,2,2,0
3,1,2.3076923076923075,0,0,-0.3081457021626061,2,0,2,0.0,1,3,0,0
3,1,0.0,0,0,-0.27392725157404874,2,0,2,0.0,1,2,1,0
1,1,3.230769230769231,0,0,0.8640158773610733,0,1,2,0.0,1,4,3,0
1,1,-0.46153846153846156,0,1,2.0917781617848346,0,1,2,1.0,0,2,3,1
2,0,0.38461538461538464,0,1,0.3655300437996168,2,0,3,1.0,0,2,2,1
2,1,0.38461538461538464,1,0,0.49384923350670684,2,0,2,1.0,0,2,2,0
3,0,-0.07692307692307693,0,0,-0.28052285792499315,2,0,1,0.0,1,2,0,0
3,1,0.0,0,0,-0.28052285792499315,2,0,2,0.0,1,2,0,0
